#t	#1	#2	#3	#4
18040.0	-4.316565976108536e-12	0.0	7.732194743283934e-12	-3.615854451654844e-12
18044.0	-4.318445408185668e-12	0.0	7.735748039581712e-12	-3.617577124422522e-12
18048.0	-4.3203252435873135e-12	0.0	7.739297974198982e-12	-3.6193002004595633e-12
18052.0	-4.3222054815817e-12	0.0	7.74285239105693e-12	-3.6210236791252813e-12
18056.0	-4.324086121671553e-12	0.0	7.746410169595386e-12	-3.622747559921937e-12
18060.0	-4.3259671640858934e-12	0.0	7.749969068694013e-12	-3.624471842987753e-12
18064.0	-4.32784860914739e-12	0.0	7.753536932273996e-12	-3.6261965286460244e-12
18068.0	-4.329730457752061e-12	0.0	7.757111519214998e-12	-3.62792161788389e-12
18072.0	-4.3316127119049965e-12	0.0	7.760688347276337e-12	-3.6296471127176535e-12
18076.0	-4.333495374025943e-12	0.0	7.764261813657168e-12	-3.6313730154874074e-12
18080.0	-4.335378445860253e-12	0.0	7.76783079779732e-12	-3.6330993280178052e-12
18084.0	-4.337261928058352e-12	0.0	7.771394179136622e-12	-3.634826050947579e-12
18088.0	-4.339145820112855e-12	0.0	7.77494859599457e-12	-3.636553183768927e-12
18092.0	-4.3410301205494216e-12	0.0	7.778503012852517e-12	-3.638280725097244e-12
18096.0	-4.342914827546382e-12	0.0	7.782060791390974e-12	-3.640008673109404e-12
18100.0	-4.3447999395778246e-12	0.0	7.785618569929431e-12	-3.6417370261877474e-12
18104.0	-4.346685455271321e-12	0.0	7.789183071828905e-12	-3.643465782869105e-12
18108.0	-4.348571373833197e-12	0.0	7.792755417649566e-12	-3.64519494236081e-12
18112.0	-4.350457695583451e-12	0.0	7.796328884030396e-12	-3.646924504983693e-12
18116.0	-4.352344421414434e-12	0.0	7.799905712091736e-12	-3.648654471630873e-12
18120.0	-4.354231552485627e-12	0.0	7.803491504634432e-12	-3.650384843552788e-12
18124.0	-4.3561190906200914e-12	0.0	7.807090743899164e-12	-3.652115622583358e-12
18128.0	-4.358007039299799e-12	0.0	7.810693344844404e-12	-3.653846812204324e-12
18132.0	-4.359895402726526e-12	0.0	7.814284740187948e-12	-3.6555784166961434e-12
18136.0	-4.3617841837696614e-12	0.0	7.817866050489967e-12	-3.657310438937868e-12
18140.0	-4.36367338336735e-12	0.0	7.821447360791982e-12	-3.6590428798659434e-12
18144.0	-4.365563001359814e-12	0.0	7.825023068293152e-12	-3.660775739307443e-12
18148.0	-4.367453036983259e-12	0.0	7.828590931873136e-12	-3.6625090164970286e-12
18152.0	-4.3693434883629736e-12	0.0	7.83215543377261e-12	-3.664242709479609e-12
18156.0	-4.371234352780895e-12	0.0	7.835714332871237e-12	-3.665976815446265e-12
18160.0	-4.373125626776528e-12	0.0	7.839268749729184e-12	-3.667711330925941e-12
18164.0	-4.375017306192246e-12	0.0	7.842825407707472e-12	-3.669446251852459e-12
18168.0	-4.376909387200655e-12	0.0	7.846392150727284e-12	-3.671181574398252e-12
18172.0	-4.378801867069147e-12	0.0	7.849970099348794e-12	-3.67291729583019e-12
18176.0	-4.38069474474187e-12	0.0	7.85355477133132e-12	-3.674653415092136e-12
18180.0	-4.38258802071301e-12	0.0	7.857145046114695e-12	-3.676389932678145e-12
18184.0	-4.3844816962172216e-12	0.0	7.860745405939596e-12	-3.67812684983384e-12
18188.0	-4.386375773453626e-12	0.0	7.864354730245853e-12	-3.679864168667543e-12
18192.0	-4.388270255955211e-12	0.0	7.867965175112282e-12	-3.6816018927017235e-12
18196.0	-4.390165147736681e-12	0.0	7.87156889661769e-12	-3.68334002595202e-12
18200.0	-4.392060451955452e-12	0.0	7.875161412521404e-12	-3.685078571576753e-12
