#t	#1	#2	#3	#4	#5	#6	#7
771.0	2.7268127854407597e-5	-1.3796079458759173e-5	8.473183242180882e-5	0.0	1.744933556464767e-5	6.733927170198163e-6	-1.5926246351094634e-5
772.0	2.7236958087599712e-5	-1.3780812093580945e-5	8.461414790117227e-5	0.0	1.7442517947068583e-5	6.72519161466911e-6	-1.5897744273027937e-5
773.0	2.7205816139256665e-5	-1.3765560071280357e-5	8.44966644246407e-5	0.0	1.7435652891781032e-5	6.7164634279546235e-6	-1.586931295029313e-5
774.0	2.717470198012993e-5	-1.3750323098536799e-5	8.437938113583616e-5	0.0	1.7428741766054006e-5	6.7077421152652566e-6	-1.5840952473870466e-5
775.0	2.7143615595238055e-5	-1.3735100890897243e-5	8.426229719997718e-5	0.0	1.742178591421044e-5	6.699027208341094e-6	-1.581266291565862e-5
776.0	2.711255698346275e-5	-1.3719893173059702e-5	8.41454118040221e-5	0.0	1.7414786656151697e-5	6.690318265606033e-6	-1.5784444328572498e-5
777.0	2.7081526157130086e-5	-1.3704699679132767e-5	8.402872415677883e-5	0.0	1.7407745285963496e-5	6.68161487226934e-6	-1.5756296746653993e-5
778.0	2.7050523141577723e-5	-1.368952015287043e-5	8.391223348895749e-5	0.0	1.7400663070592562e-5	6.6729166403765005e-6	-1.5728220185231473e-5
779.0	2.7019547974708696e-5	-1.3674354347883768e-5	8.379593905319778e-5	0.0	1.7393541248619028e-5	6.664223208809663e-6	-1.570021464109767e-5
780.0	2.698860070653364e-5	-1.3659202027828693e-5	8.367984012405264e-5	0.0	1.7386381029106063e-5	6.655534243239464e-6	-1.5672280092717586e-5
781.0	2.695768139870232e-5	-1.3644062966570255e-5	8.356393599793525e-5	0.0	1.7379183590532768e-5	6.64684943602917e-6	-1.5644416500462213e-5
782.0	2.6926790124025326e-5	-1.362893694832406e-5	8.34482259930261e-5	0.0	1.737195007981064e-5	6.638168506092564e-6	-1.5616623806865505e-5
783.0	2.6895926965987143e-5	-1.361382376777471e-5	8.333270944914253e-5	0.0	1.736468161137449e-5	6.629491198706685e-6	-1.558890193692124e-5
784.0	2.686509201825278e-5	-1.3598723230171868e-5	8.321738572759159e-5	0.0	1.73573792663659e-5	6.620817285281267e-6	-1.556125079838116e-5
785.0	2.6834285384167426e-5	-1.3583635151404006e-5	8.310225421096266e-5	0.0	1.7350044091896948e-5	6.6121465630864e-6	-1.553367028208938e-5
786.0	2.6803507176251118e-5	-1.3568559358051115e-5	8.298731430290568e-5	0.0	1.7342677100384605e-5	6.603478854939177e-6	-1.550616026233742e-5
787.0	2.677275751568944e-5	-1.355349568741592e-5	8.287256542787794e-5	0.0	1.7335279268971805e-5	6.5948140088518635e-6	-1.5478720597235094e-5
788.0	2.674203653182107e-5	-1.3538443987534132e-5	8.275800703084872e-5	0.0	1.732785153902558e-5	6.5861518976423034e-6	-1.5451351129107105e-5
789.0	2.6711344361623183e-5	-1.3523404117165388e-5	8.264363857698604e-5	0.0	1.732039481572593e-5	6.577492418508703e-6	-1.5424051684901103e-5
790.0	2.6680681149195802e-5	-1.3508375945763273e-5	8.252945955132616e-5	0.0	1.7312909967699715e-5	6.568835492570134e-6	-1.5396822076613803e-5
791.0	2.6650047045246846e-5	-1.3493359353427485e-5	8.241546945838986e-5	0.0	1.7305397826760552e-5	6.56018106437491e-6	-1.5369662101741595e-5
792.0	2.6619442206577037e-5	-1.347835423083655e-5	8.2301667821799e-5	0.0	1.7297859187708746e-5	6.551529101377803e-6	-1.5342571543732294e-5
793.0	2.65888667955674e-5	-1.346336047916317e-5	8.218805418385903e-5	0.0	1.7290294808203795e-5	6.542879593388491e-6	-1.5315550172460326e-5
794.0	2.6558320979669258e-5	-1.3448378009971954e-5	8.207462810511821e-5	0.0	1.728270540871116e-5	6.534232551992433e-6	-1.5288597744711682e-5
795.0	2.652780493089742e-5	-1.3433406745100591e-5	8.196138916391698e-5	0.0	1.7275091672518833e-5	6.52558800994594e-6	-1.5261714004679208e-5
796.0	2.649731882532852e-5	-1.3418446616524741e-5	8.184833695590124e-5	0.0	1.726745424580391e-5	6.516946020547286e-6	-1.523489868446573e-5
797.0	2.646686284260432e-5	-1.3403497566208098e-5	8.173547109353734e-5	0.0	1.725979373779708e-5	6.50830665698597e-6	-1.520815150460741e-5
798.0	2.643643716544089e-5	-1.3388559545936853e-5	8.162279120559686e-5	0.0	1.725211072098006e-5	6.499670011671363e-6	-1.518147217459043e-5
799.0	2.640604197914495e-5	-1.3373632517140871e-5	8.151029693662914e-5	0.0	1.7244405731360208e-5	6.491036195542349e-6	-1.5154860393382355e-5
800.0	2.637567747113749e-5	-1.335871645070113e-5	8.139798794642559e-5	0.0	1.7236679268796442e-5	6.482405337360234e-6	-1.512831584997239e-5
801.0	2.634534383048566e-5	-1.3343811326744895e-5	8.128586390946753e-5	0.0	1.722893179739132e-5	6.473777582986023e-6	-1.5101838223904432e-5
802.0	2.631504124744336e-5	-1.332891713442771e-5	8.11739245143558e-5	0.0	1.722116374592921e-5	6.465153094643964e-6	-1.5075427185831116e-5
803.0	2.6284769913001467e-5	-1.3314033871705997e-5	8.10621694632468e-5	0.0	1.721337550836964e-5	6.456532050173175e-6	-1.5049082398051702e-5
804.0	2.6254530018448496e-5	-1.329916154509765e-5	8.095059847127119e-5	0.0	1.7205567444396578e-5	6.447914642269627e-6	-1.502280351506874e-5
805.0	2.622432175494131e-5	-1.3284300169433257e-5	8.083921126594106e-5	0.0	1.7197739880005263e-5	6.43930107771833e-6	-1.4996590184134365e-5
806.0	2.619414531308733e-5	-1.3269449767598358e-5	8.072800758655948e-5	0.0	1.7189893108146253e-5	6.430691576619271e-6	-1.4970442045796911e-5
807.0	2.6164000882538423e-5	-1.3254610370266988e-5	8.061698718361961e-5	0.0	1.718202738940476e-5	6.422086371607721e-6	-1.4944358734459476e-5
808.0	2.6133888651596488e-5	-1.3239782015627415e-5	8.050614981821022e-5	0.0	1.7174142952715595e-5	6.4134857070699205e-6	-1.4918339878912407e-5
809.0	2.6103808806831833e-5	-1.3224964749101537e-5	8.039549526139626e-5	0.0	1.716623999614327e-5	6.4048898383570075e-6	-1.4892385102886074e-5
810.0	2.607376153271486e-5	-1.3210158623056907e-5	8.02850232936306e-5	0.0	1.715831868766399e-5	6.396299030998239e-6	-1.486649402558674e-5
811.0	2.604374701126038e-5	-1.3195363696514052e-5	8.017473370413947e-5	0.0	1.7150379166002815e-5	6.387713559914251e-6	-1.4840666262231514e-5
812.0	2.6013765421685835e-5	-1.3180580034848366e-5	8.006462629032075e-5	0.0	1.7142421541496174e-5	6.379133708632603e-6	-1.4814901424577693e-5
813.0	2.598381694008356e-5	-1.3165807709488093e-5	7.995470085714436e-5	0.0	1.7134445896986545e-5	6.3705597685066885e-6	-1.4789199121440873e-5
814.0	2.595390173910637e-5	-1.3151046797608218e-5	7.984495721655177e-5	0.0	1.71264522887364e-5	6.361992037939008e-6	-1.4763558959222712e-5
815.0	2.5924019987668616e-5	-1.3136297381821614e-5	7.973539518686452e-5	0.0	1.7118440747375846e-5	6.353430821610749e-6	-1.4737980542403196e-5
816.0	2.589417185066092e-5	-1.312155954986806e-5	7.962601459219018e-5	0.0	1.711041127886033e-5	6.3448764297183474e-6	-1.471246347405226e-5
817.0	2.58643574886801e-5	-1.310683339430157e-5	7.951681526185e-5	0.0	1.7102363865463594e-5	6.336329177219526e-6	-1.468700735631185e-5
818.0	2.583457705777365e-5	-1.309211901217654e-5	7.940779702979528e-5	0.0	1.7094298466772652e-5	6.327789383087768e-6	-1.4661611790880914e-5
819.0	2.5804830709199222e-5	-1.3077416504733608e-5	7.929895973404449e-5	0.0	1.7086215020707798e-5	6.319257369578486e-6	-1.4636276379480627e-5
820.0	2.5775118589199204e-5	-1.3062725977085515e-5	7.919030321612341e-5	0.0	1.7078113444552846e-5	6.3107334615065474e-6	-1.4611000724324896e-5
821.0	2.574544083878997e-5	-1.3048047537903667e-5	7.908182732051953e-5	0.0	1.706999363597752e-5	6.302217985536724e-6	-1.4585784428550285e-5
822.0	2.5715797593566405e-5	-1.3033381299106103e-5	7.897353189414352e-5	0.0	1.7061855474112652e-5	6.29371126948829e-6	-1.456062709666734e-5
823.0	2.5686188983521734e-5	-1.3018727375547685e-5	7.886541678579935e-5	0.0	1.705369882058236e-5	6.285213641654677e-6	-1.4535528334971905e-5
824.0	2.565661513288173e-5	-1.300408588471176e-5	7.875748184567331e-5	0.0	1.704552352057035e-5	6.276725430138431e-6	-1.4510487751963879e-5
825.0	2.5627076159954178e-5	-1.298945694640558e-5	7.864972692482854e-5	0.0	1.703732940387363e-5	6.268246962203009e-6	-1.4485504958738773e-5
826.0	2.5597572176993044e-5	-1.2974840682458651e-5	7.854215187472464e-5	0.0	1.7029116285971265e-5	6.259778563641794e-6	-1.4460579569373132e-5
