# (1)t	# (2) P[5<--1](t)	# (3) P[5<--2](t)	# (4) P[5<--3](t)	# (5) P[5<--4](t)	# (6) P[5<--5](t)	# (7) P[5<--6](t)	# (8) P[5<--7](t)
145.0	0.006191599507	0.000118657667	-0.0002729359855	0.003502837573	0.0	0.009400080247	4.79052254e-5
146.0	0.006226915714	0.000117659022	-0.0002722783063	0.003500208944	0.0	0.009452958628	4.809322057e-5
147.0	0.006263343435	0.0001166802985	-0.0002716645402	0.003497861125	0.0	0.009508899318	4.827801916e-5
148.0	0.00630085715	0.0001157218785	-0.0002710959457	0.003495875324	0.0	0.009567924085	4.846059306e-5
149.0	0.006339429486	0.000114784075	-0.0002705736204	0.003494328871	0.0	0.009630045913	4.864189981e-5
150.0	0.006379031322	0.0001138671345	-0.0002700985048	0.003493295046	0.0	0.009695269113	4.882288024e-5
151.0	0.006419631905	0.0001129712396	-0.000269671386	0.003492842921	0.0	0.009763589459	4.900445626e-5
152.0	0.006461198967	0.0001120965123	-0.0002692929019	0.003493037239	0.0	0.009834994357	4.918752888e-5
153.0	0.006503698834	0.0001112430156	-0.0002689635455	0.003493938307	0.0	0.009909463033	4.937297624e-5
154.0	0.006547096542	0.0001104107575	-0.0002686836691	0.003495601919	0.0	0.009986966738	4.956165194e-5
155.0	0.006591355953	0.0001095996928	-0.0002684534886	0.003498079301	0.0	0.01006746899	4.975438342e-5
156.0	0.00663643986	0.0001088097263	-0.000268273088	0.003501417076	0.0	0.01015092582	4.995197053e-5
157.0	0.006682310104	0.0001080407155	-0.0002681424235	0.003505657254	0.0	0.01023728605	5.015518424e-5
158.0	0.006728927682	0.0001072924729	-0.0002680613286	0.003510837237	0.0	0.01032649157	5.036476548e-5
159.0	0.006776252857	0.0001065647693	-0.0002680295182	0.003516989853	0.0	0.01041847765	5.058142412e-5
160.0	0.006824245259	0.0001058573359	-0.0002680465933	0.003524143397	0.0	0.01051317326	5.080583814e-5
161.0	0.006872863999	0.0001051698673	-0.0002681120457	0.003532321695	0.0	0.01061050139	5.103865284e-5
162.0	0.006922067762	0.0001045020236	-0.0002682252626	0.003541544189	0.0	0.0107103794	5.128048023e-5
163.0	0.006971814913	0.0001038534333	-0.0002683855314	0.003551826026	0.0	0.01081271939	5.153189859e-5
164.0	0.007022063595	0.0001032236956	-0.000268592044	0.003563178167	0.0	0.01091742849	5.179345203e-5
165.0	0.007072771822	0.0001026123825	-0.0002688439022	0.00357560751	0.0	0.01102440932	5.206565027e-5
166.0	0.00712389757	0.0001020190418	-0.0002691401219	0.00358911702	0.0	0.01113356029	5.234896849e-5
167.0	0.007175398874	0.0001014431984	-0.0002694796378	0.00360370587	0.0	0.01124477599	5.264384724e-5
168.0	0.007227233907	0.0001008843574	-0.0002698613088	0.003619369591	0.0	0.01135794758	5.295069253e-5
169.0	0.007279361069	0.0001003420055	-0.000270283922	0.00363610023	0.0	0.01147296317	5.326987595e-5
170.0	0.007331739064	9.981561349e-5	-0.0002707461982	0.003653886515	0.0	0.01158970814	5.360173488e-5
171.0	0.007384326981	9.930463784e-5	-0.0002712467958	0.003672714021	0.0	0.01170806559	5.394657281e-5
172.0	0.007437084369	9.880852286e-5	-0.0002717843166	0.003692565346	0.0	0.01182791667	5.430465968e-5
173.0	0.007489971302	9.832670238e-5	-0.0002723573096	0.003713420282	0.0	0.01194914093	5.467623238e-5
174.0	0.007542948454	9.785860146e-5	-0.0002729642764	0.003735255997	0.0	0.01207161671	5.506149519e-5
175.0	0.00759597716	9.740363806e-5	-0.0002736036755	0.003758047212	0.0	0.01219522148	5.546062039e-5
176.0	0.007649019478	9.696122462e-5	-0.0002742739272	0.003781766379	0.0	0.01231983219	5.587374885e-5
177.0	0.007702038245	9.653076953e-5	-0.0002749734181	0.003806383857	0.0	0.01244532559	5.630099069e-5
178.0	0.007754997135	9.611167853e-5	-0.0002757005058	0.003831868092	0.0	0.01257157859	5.674242601e-5
179.0	0.007807860705	9.570335611e-5	-0.0002764535235	0.003858185788	0.0	0.01269846855	5.71981056e-5
180.0	0.007860594448	9.530520674e-5	-0.0002772307841	0.003885302075	0.0	0.01282587358	5.766805174e-5
181.0	0.007913164832	9.491663607e-5	-0.0002780305852	0.003913180683	0.0	0.01295367287	5.8152259e-5
182.0	0.007965539344	9.453705207e-5	-0.000278851213	0.003941784098	0.0	0.01308174695	5.865069505e-5
183.0	0.008017686528	9.41658661e-5	-0.0002796909468	0.003971073722	0.0	0.01320997796	5.916330154e-5
184.0	0.008069576016	9.38024939e-5	-0.0002805480628	0.004001010028	0.0	0.01333824991	5.968999495e-5
185.0	0.008121178564	9.344635649e-5	-0.0002814208388	0.004031552706	0.0	0.01346644891	6.023066747e-5
186.0	0.008172466073	9.30968811e-5	-0.0002823075575	0.004062660802	0.0	0.01359446345	6.078518794e-5
187.0	0.008223411621	9.275350194e-5	-0.0002832065109	0.004094292861	0.0	0.01372218457	6.135340269e-5
188.0	0.008273989479	9.241566096e-5	-0.0002841160036	0.004126407048	0.0	0.01384950605	6.193513649e-5
189.0	0.008324175134	9.208280857e-5	-0.0002850343568	0.004158961278	0.0	0.01397632466	6.253019346e-5
190.0	0.0083739453	9.175440426e-5	-0.0002859599112	0.00419191333	0.0	0.01410254028	6.313835798e-5
191.0	0.008423277935	9.14299172e-5	-0.000286891031	0.004225220955	0.0	0.01422805609	6.375939562e-5
192.0	0.008472152249	9.11088268e-5	-0.0002878261065	0.004258841985	0.0	0.01435277871	6.439305401e-5
193.0	0.00852054871	9.07906232e-5	-0.0002887635577	0.004292734428	0.0	0.01447661831	6.503906383e-5
194.0	0.008568449051	9.047480774e-5	-0.0002897018365	0.004326856555	0.0	0.01459948877	6.569713961e-5
195.0	0.008615836269	9.016089335e-5	-0.00029063943	0.004361166993	0.0	0.01472130775	6.636698073e-5
196.0	0.008662694629	8.984840497e-5	-0.0002915748625	0.004395624796	0.0	0.01484199681	6.704827223e-5
197.0	0.008709009655	8.953687984e-5	-0.0002925066985	0.004430189521	0.0	0.01496148146	6.774068575e-5
198.0	0.008754768129	8.922586784e-5	-0.0002934335442	0.004464821296	0.0	0.01507969124	6.844388035e-5
199.0	0.008799958081	8.891493173e-5	-0.0002943540502	0.004499480879	0.0	0.0151965598	6.915750342e-5
200.0	0.008844568781	8.860364743e-5	-0.0002952669128	0.004534129711	0.0	0.01531202488	6.988119149e-5
201.0	0.008888590726	8.829160418e-5	-0.000296170876	0.004568729974	0.0	0.01542602839	7.061457111e-5
202.0	0.008932015626	8.797840477e-5	-0.0002970647329	0.004603244629	0.0	0.01553851642	7.135725964e-5
203.0	0.008974836387	8.766366565e-5	-0.0002979473268	0.004637637464	0.0	0.01564943924	7.210886607e-5
204.0	0.009017047096	8.73470171e-5	-0.000298817553	0.004671873122	0.0	0.01575875129	7.286899185e-5
205.0	0.009058643001	8.702810328e-5	-0.0002996743589	0.004705917142	0.0	0.01586641119	7.363723167e-5
206.0	0.009099620487	8.67065824e-5	-0.0003005167456	0.004739735982	0.0	0.01597238168	7.441317422e-5
207.0	0.009139977056	8.63821267e-5	-0.000301343768	0.004773297045	0.0	0.01607662963	7.519640295e-5
208.0	0.009179711304	8.605442254e-5	-0.0003021545357	0.004806568702	0.0	0.01617912598	7.598649687e-5
209.0	0.009218822892	8.57231704e-5	-0.000302948213	0.004839520306	0.0	0.01627984569	7.678303124e-5
210.0	0.009257312523	8.538808492e-5	-0.0003037240191	0.004872122212	0.0	0.01637876769	7.75855783e-5
211.0	0.00929518191	8.504889486e-5	-0.0003044812284	0.004904345789	0.0	0.0164758748	7.839370801e-5
212.0	0.00933243375	8.470534308e-5	-0.0003052191701	0.004936163427	0.0	0.0165711537	7.920698872e-5
213.0	0.009369071695	8.435718652e-5	-0.0003059372283	0.004967548546	0.0	0.01666459482	8.002498786e-5
214.0	0.009405100316	8.400419613e-5	-0.000306634841	0.004998475604	0.0	0.01675619225	8.084727262e-5
215.0	0.009440525076	8.36461568e-5	-0.0003073115003	0.005028920099	0.0	0.01684594369	8.167341061e-5
216.0	0.009475352294	8.32828673e-5	-0.0003079667513	0.005058858574	0.0	0.01693385033	8.250297048e-5
217.0	0.009509589114	8.291414014e-5	-0.0003086001917	0.005088268612	0.0	0.01701991677	8.333552257e-5
218.0	0.009543243471	8.253980152e-5	-0.0003092114705	0.005117128843	0.0	0.01710415089	8.417063953e-5
219.0	0.009576324052	8.21596912e-5	-0.0003098002877	0.005145418938	0.0	0.0171865638	8.50078969e-5
220.0	0.009608840268	8.177366234e-5	-0.0003103663928	0.005173119606	0.0	0.01726716967	8.584687372e-5
221.0	0.009640802213	8.138158138e-5	-0.0003109095838	0.005200212591	0.0	0.01734598566	8.668715309e-5
222.0	0.009672220632	8.09833279e-5	-0.0003114297063	0.005226680671	0.0	0.01742303181	8.75283227e-5
223.0	0.009703106881	8.057879446e-5	-0.0003119266517	0.005252507646	0.0	0.01749833089	8.836997543e-5
224.0	0.009733472897	8.016788641e-5	-0.0003124003567	0.005277678339	0.0	0.01757190832	8.921170983e-5
225.0	0.009763331154	7.975052173e-5	-0.0003128508011	0.005302178584	0.0	0.01764379203	9.005313067e-5
226.0	0.009792694634	7.932663081e-5	-0.0003132780071	0.005325995221	0.0	0.01771401236	9.089384937e-5
227.0	0.009821576787	7.88961563e-5	-0.0003136820373	0.005349116091	0.0	0.01778260192	9.173348456e-5
228.0	0.009849991496	7.845905285e-5	-0.0003140629936	0.005371530022	0.0	0.01784959548	9.257166247e-5
229.0	0.00987795304	7.801528692e-5	-0.0003144210158	0.005393226828	0.0	0.01791502985	9.340801743e-5
230.0	0.009905476059	7.756483657e-5	-0.0003147562796	0.005414197293	0.0	0.01797894375	9.424219224e-5
231.0	0.009932575519	7.710769117e-5	-0.0003150689954	0.005434433166	0.0	0.01804137769	9.507383865e-5
232.0	0.009959266678	7.66438512e-5	-0.0003153594068	0.005453927152	0.0	0.01810237387	9.590261768e-5
233.0	0.009985565049	7.617332799e-5	-0.0003156277889	0.005472672896	0.0	0.01816197604	9.672820005e-5
