#t	#1	#2	#3	#4	#5	#6	#7
755.0	0.4289287017382424	0.0	-0.21753046654983646	0.015705028085751263	0.00016651213487566262	-0.03836294916874403	0.005957658792725004
756.0	0.42899290386860883	0.0	-0.21772065389292533	0.015719063018444276	0.00016685917424392855	-0.03839354504068094	0.005963435800209824
757.0	0.42905707786396774	0.0	-0.21791062559474858	0.01573308240309027	0.00016720583579285547	-0.03842410507166004	0.005969206433254644
758.0	0.4291212230601588	0.0	-0.21810038192594225	0.015747086260418076	0.0001675521198160438	-0.03845462931077323	0.005974970700918597
759.0	0.42918533873768844	0.0	-0.21828992315432727	0.015761074610779968	0.00016789802662049247	-0.03848511780656329	0.0059807286121195255
760.0	0.4292494241245367	0.0	-0.21847924954492612	0.015775047474153092	0.00016824355652634603	-0.038515570607031785	0.00598648017563253
761.0	0.42931347839899087	0.0	-0.21866836135998358	0.01578900487014156	0.00016858870986662236	-0.038545987759647654	0.0059922254000888105
762.0	0.4293775006924992	0.0	-0.21885725885899188	0.015802946817979138	0.0001689334869869234	-0.03857636931135635	0.005997964293974805
763.0	0.4294414900925394	0.0	-0.21904594229871974	0.01581687333653256	0.00016927788824512859	-0.03860671530858963	0.006003696865631616
764.0	0.42950544564549603	0.0	-0.21923441193324508	0.01583078444430539	0.0001696219140110726	-0.03863702579727588	0.006009423123254712
765.0	0.42956936635954135	0.0	-0.2194226680139919	0.015844680159442473	0.00016996556466620873	-0.03866730082285093	0.006015143074893912
766.0	0.429633251207514	0.0	-0.21961071078977007	0.01585856049973488	0.00017030884060325805	-0.03869754043026938	0.006020856728453633
767.0	0.4296970991297906	0.0	-0.2197985405068191	0.015872425482625407	0.0001706517422258462	-0.03872774466401642	0.006026564091693399
768.0	0.42976090903714487	0.0	-0.21998615740885463	0.015886275125214535	0.00017099426994812816	-0.038757913568119993	0.0060322651722286005
769.0	0.42982467981358957	0.0	-0.2201735617371183	0.015900109444266855	0.00017133642419440257	-0.0387880471861634	0.0060379599775315035
770.0	0.4298884103191961	0.0	-0.2203607537304303	0.015913928456217953	0.00017167820539871616	-0.03881814556129826	0.00604364851493249
771.0	0.4299520993928874	0.0	-0.22054773362524457	0.01592773217718168	0.00017201961400445934	-0.03884820873625776	0.006049330791621532
772.0	0.4300157458551996	0.0	-0.22073450165570688	0.01594152062295785	0.0001723606504639544	-0.038878236753370224	0.00605500681464988
773.0	0.430079348511008	0.0	-0.22092105805371476	0.015955293809040278	0.00017270131523803642	-0.03890822965457295	0.006060676590931967
774.0	0.4301429061522135	0.0	-0.22110740304898005	0.01596905175062519	0.00017304160879562884	-0.03893818748142624	0.006066340127247513
775.0	0.4302064175603854	0.0	-0.22129353686909323	0.015982794462619906	0.00017338153161331363	-0.03896811027512764	0.006071997430243822
776.0	0.43026988150935647	0.0	-0.22147945973958966	0.015996521959651885	0.00017372108417489804	-0.03899799807652639	0.006077648506438267
777.0	0.4303332967677673	0.0	-0.2216651718840176	0.016010234256077983	0.00017406026697097782	-0.0390278509261379	0.006083293362220939
778.0	0.43039666210155614	0.0	-0.2218506735240075	0.016023931365993983	0.00017439908049849851	-0.03905766886415844	0.006088932003857474
779.0	0.43045997627639093	0.0	-0.222035964879343	0.016037613303244363	0.00017473752526031558	-0.03908745193047989	0.0060945644374920315
780.0	0.43052323806004095	0.0	-0.2222210461680326	0.01605128008143222	0.0001750756017647538	-0.039117200164704435	0.006100190669150411
781.0	0.43058644622468467	0.0	-0.22240591760638298	0.01606493171392942	0.00017541331052516737	-0.03914691360615943	0.006105810704743322
782.0	0.43064959954915166	0.0	-0.22259057940907265	0.016078568213886868	0.00017575065205950095	-0.03917659229391211	0.0061114245500697596
783.0	0.4307126968210956	0.0	-0.2227750317892265	0.016092189594244917	0.0001760876268898531	-0.03920623626678442	0.006117032210820521
